Price;Location;Spare;Length;Width;Direction;Amenities
1.4 tỷ; Xã Sông Trầu, Huyện Trảng Bom, Đồng Nai; 1,355 m²; --; --; --;0
550 triệu; Xã Đồng Sơn, Gò Công Tây, Tiền Giang; 146 m²; 30 m; 5 m; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 80 m²; 16 m; 5 m; Đ.Nam;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 78 m²; 15.6 m; 5 m; --;0
7.1 tỷ; Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, TP. Hà Nội; 140 m²; --; 7.3 m; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 76 m²; 15.2 m; 5 m; Bắc;0
5 tỷ; Đường Phạm Văn Sáng Xuân Thới Thượng, Hóc Môn, TPHCM; 95 m²; 19 m; 5 m; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 75 m²; 15 m; 5 m; Đ.Bắc;0
700 triệu; Đường Số 1, Xã Long Hòa, Huyện Cần Đước, Long An; 82 m²; 4.07 m; 20.7 m; --;1
3.3 tỷ; Phường Quyết Thắng, TP. Biên Hòa, Đồng Nai; 63.40 m²; 14 m; 5 m; Tây;1
550 triệu; Đường Đồng Sơn, Gò Công Tây, Tiền Giang; 146 m²; 30 m; 5 m; --;0
935 triệu; Đường Âu Cơ, phường 1, Bảo Lộc, Lâm Đồng; 165 m²; 33 m; 5 m; --;0
1.34 tỷ; Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận; 5,458 m²; --; --; Đông;1
755 triệu; Đường 826, Xã Long Trạch, Huyện Cần Đước, Long An; 85.50 m²; --; --; --;1
1.5 tỷ; Đường Hồ Chí Minh, Thị trấn Chi Nê, Huyện Lạc Thủy, Hòa Bình; 113 m²; --; --; --;0
2.25 tỷ; Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 120 m²; 24 m; 5 m; --;0
750 triệu; Xã Bình An, Huyện Thăng Bình, Quảng Nam; 100 m²; 20 m; 5 m; --;1
500 triệu; Đường 101, Xã Phú Cường, Huyện Định Quán, Đồng Nai; 2,028 m²; 44 m; 54 m; Đ.Nam;0
920 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
1.34 tỷ; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 125 m²; 25 m; 5 m; --;0
1.8 tỷ; Đường 21, Xã Cao Dương, Huyện Lương Sơn, Hòa Bình; 260,000 m²; --; --; --;0
1.8 tỷ; Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 90 m²; 18 m; 5 m; --;1
350 triệu; Đường 826, Xã Phước Đông, Huyện Cần Đước, Long An; 100 m²; 20 m; 5 m; --;1
300 triệu; TL 623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 130 m²; 20 m; 5 m; Bắc;1
6.7 tỷ; Đường Tân Thành, Tân Thành, Dương Kinh, Hải Phòng; 600 m²; 27 m; 22 m; --;0
1.35 tỷ; Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh; 81 m²; 15 m; 5 m; T.Nam;1
1.06 tỷ; Thị trấn Lương Sơn, Huyện Bắc Bình, Bình Thuận; 8,459 m²; --; --; Đông;1
1.9 tỷ; Quốc lộ 1A, Xã Thanh Trạch, Huyện Bố Trạch, Quảng Bình; 200 m²; 19.99 m; 11 m; T.Bắc;1
682 triệu; Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận; 2,727 m²; --; --; Đông;0
2.1 tỷ; Xã Bình Chánh, Huyện Bình Chánh, TP. Hồ Chí Minh; 90 m²; 18 m; 5 m; --;1
1.23 tỷ; Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận; 8,459 m²; --; --; Đông;1
1.18 tỷ; Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận; 8,460 m²; --; --; Đông;1
280 triệu; DT623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 123 m²; 25 m; 5 m; Đ.Nam;1
650 triệu; Thị trấn Phước Vĩnh, Huyện Phú Giáo, Bình Dương; 1,000 m²; --; --; --;0
1.65 tỷ; Thị trấn Đông Phú, Huyện Quế Sơn, Quảng Nam; 120 m²; 20 m; 6 m; --;1
330 triệu; NGUYỄN TẤT THÀNH , Thị Trấn Ái Nghĩa, Huyện Đại Lộc, Quảng Nam; 120 m²; 20 m; 5.99 m; --;1
6 tỷ; Đường Phúc Lợi Phúc Lợi, Long Biên, Hà Nội; 94 m²; 18.4 m; 5.1 m; --;0
899 triệu; Đường 15B Bến Nghé, quận 1, TPHCM; 132 m²; 22 m; 6 m; --;0
2.35 tỷ; Lưu Hữu Phước, Phường 14, Quận 8, TP. Hồ Chí Minh; 73 m²; 5 m; 14.6 m; --;1
560 triệu; Xã Quang Hưng, Huyện An Lão, TP. Hải Phòng; 80 m²; --; --; --;1
560 triệu; Thị trấn Phú Túc, Huyện Krông Pa, Gia Lai; 10,000 m²; 100 m; 100 m; --;1
680 triệu; Đường Quốc Lộ 22, Thị trấn Bến Cầu, Huyện Bến Cầu, Tây Ninh; 200 m²; 20 m; 10 m; --;1
899 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 6 m; 22 m; --;0
1.05 tỷ; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
760 triệu; Đường Dương Gia Trang, Xã Nha Bích, Thị xã Chơn Thành, Bình Phước; 200 m²; 40 m; 5 m; T.Nam;1
1.94 tỷ; Tỉnh Lộ 10, Xã Phạm Văn Hai, Huyện Bình Chánh, TP. Hồ Chí Minh; 114 m²; 19 m; 6 m; Nam;1
455 triệu; QL50, Xã Phong Phú, Huyện Bình Chánh, TP. Hồ Chí Minh; 104 m²; --; --; --;1
550 triệu; Xã Tân Lợi, Huyện Đồng Phú, Bình Phước; 250 m²; 50 m; 5 m; --;0
600 triệu; Xã Phan, Huyện Dương Minh Châu, Tây Ninh; 130 m²; --; --; --;0
539 triệu; Đường 14, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương; 70 m²; 14 m; 5 m; --;1
1.17 tỷ; Xã Hòa Phú, Huyện Tuy Phong, Bình Thuận; 75 m²; --; --; --;0
2 tỷ; Xã Hòa Phú, Huyện Tuy Phong, Bình Thuận; 76 m²; --; --; --;0
899 triệu; Đường Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; Bắc;1
7.5 tỷ; Đường Máng Nước, An Đồng, An Dương, HP; 90 m²; --; 4.5 m; --;0
3 tỷ; Đường Võ Nguyên Giáp, Xã Vĩnh Ngọc, Huyện Đông Anh, TP. Hà Nội; 55 m²; --; --; --;0
519 triệu; Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 300 m²; 50 m; 6 m; --;1
899 triệu; Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0
899 triệu; Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0
899 triệu; Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0
899 triệu; Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0
899 triệu; Hùng vương , Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0
899 triệu; Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; Đông;0
899 triệu; Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0
899 triệu; Đường Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0
2.9 tỷ; Phường Hợp Đức, Quận Đồ Sơn, TP. Hải Phòng; 200 m²; --; --; --;0
1.1 tỷ; Đường 5, Xã Tây Hòa, Huyện Trảng Bom, Đồng Nai; 125 m²; 25 m; 5 m; --;0
4.6 tỷ; Đường Đỗ Văn Thi, Phường Tam Hòa, TP. Biên Hòa, Đồng Nai; 85 m²; --; 5 m; --;0
600 triệu; Đường Hội Bài - Châu Pha, Xã Tân Hòa, Thị xã Phú Mỹ, Bà Rịa Vũng Tàu; 100 m²; 5 m; 20 m; --;0
6.25 tỷ; DT759B Lộc An, Huyện Lộc Ninh, Tỉnh Bình Phước., Xã Lộc An, Huyện Lộc Ninh, Bình Phước; 14,600 m²; --; --; --;0
650 triệu; Phường Lái Thiêu, TP. Thuận An, Bình Dương; 1,700 m²; 65 m; 17.99 m; --;1
3.8 tỷ; Đường 1 Ninh Diêm, Ninh Hòa, Khánh Hòa; 382 m²; 41 m; 9 m; --;0
22 tỷ; Nguyễn Văn Tăng, Phường Long Thạnh Mỹ, TP. Thủ Đức, TP. Hồ Chí Minh; 530 m²; 38 m; 15.5 m; --;1
720 triệu; Xã An Tịnh, Huyện Trảng Bàng, Tây Ninh; 150 m²; --; --; --;1
15 tỷ; Đường 14 Ea Pô, Cư Jut, Đắk Nông; 1,530,000 m²; 500 m; 3000 m; --;0
2.4 tỷ; Đường Hải Thành Hải Thành, Dương Kinh, Hải Phòng; 137 m²; 20 m; 6 m; --;0
2.4 tỷ; Đường Hải Thành Hải Thành, Dương Kinh, Hải Phòng; 137 m²; 20 m; 6 m; --;0
2.6 tỷ; Đường Hợp Hòa Anh Dũng, Dương Kinh, Hải Phòng; 100 m²; 20 m; 5 m; --;0
16 tỷ; Gò Công, Phường Long Thạnh Mỹ, TP. Thủ Đức, TP. Hồ Chí Minh; 3,211 m²; --; --; --;0
7 tỷ; Đường Tân Thành Tân Thành, Dương Kinh, Hải Phòng; 600 m²; 27 m; 22 m; --;0
800 triệu; Đường 826, Xã Long Khê, Huyện Cần Đước, Long An; 125 m²; --; --; --;1
949 triệu; Đường Âu Cơ, phường 1, Bảo Lộc, Lâm Đồng; 180 m²; 36 m; 5 m; --;0
590 triệu; Xã Tân Lân, Huyện Cần Đước, Long An; 80 m²; 20 m; 4 m; --;0
780 triệu; Xã An Tịnh, Huyện Trảng Bàng, Tây Ninh; 150 m²; --; --; --;1
1.1 tỷ; Quốc lộ 1A, Xã Bình An, Huyện Thăng Bình, Quảng Nam; 126 m²; 18 m; 7 m; Đ.Nam;1
800 triệu; Đường 301, Xã Bát Trang, Huyện An Lão, TP Hải Phòng; 72 m²; 16 m; 5.25 m; --;0
4.6 tỷ; Đường A3, Phường Phước Long, TP Nha Trang, Khánh Hòa; 54 m²; 16 m; 4 m; --;0
650 triệu; Đường Quốc Lộ 13, Phường Minh Hưng, Thị xã Chơn Thành, Bình Phước; 500 m²; 100 m; 5 m; --;1
4.6 tỷ; Đường A3, Phường Phước Long, TP Nha Trang, Khánh Hòa; 54 m²; 16 m; 4 m; --;0
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; Đ.Nam;0
5.3 tỷ; Nguyễn Văn Khạ, Xã Tân An Hội, Huyện Củ Chi, TP. Hồ Chí Minh; 302 m²; 20 m; 14.99 m; --;0
380 triệu; DT 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 150 m²; 34 m; 5 m; Nam;1
3.9 tỷ; Phường Ngọc Hải, Quận Đồ Sơn, TP. Hải Phòng; 151 m²; --; --; T.Bắc;0
2.55 tỷ; Đường An Phú 26, An Phú, Thuận An, Bình Dương; 114 m²; --; --; --;0
1.35 tỷ; Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 90 m²; 18 m; 5 m; --;1
4.56 tỷ; Đường Long Biên 1, Phường Ngọc Lâm, Quận Long Biên, TP Hà Nội; 73 m²; 10.5 m; 7 m; --;0
899 triệu; Đường Hùng Vương Phú Lộc, Krong Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;0
7 tỷ; Đường Tân Thành Tân Thành, Dương Kinh, Hải Phòng; 600 m²; 27 m; 22 m; --;0
610 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 60 m²; --; --; --;0
400 triệu; DT 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 150 m²; 30 m; 5 m; Nam;1
450 triệu; Đường 10, Tân Viên, An Lão, Hải Phòng; 68 m²; 12 m; 6 m; --;0
629 triệu; Đường Hồ Chí Minh, Thị trấn Thạnh Mỹ, Huyện Nam Giang, Quảng Nam; 120 m²; 5.99 m; --; T.Nam;1
590 triệu; Quốc lộ 50, Xã Bình Đông, Thị xã Gò Công, Tiền Giang; 132 m²; 22 m; 6 m; --;1
6.56 tỷ; QL23, Xã Tiền Phong, Huyện Mê Linh, TP. Hà Nội; 80 m²; 20 m; 4 m; --;0
1.13 tỷ; Đường 5, Phường Sở Dầu, Quận Hồng Bàng, TP Hải Phòng; 65 m²; --; 4 m; --;0
350 triệu; QL50, Xã Bình Đông, Thị xã Gò Công, Tiền Giang; 100 m²; --; --; --;1
400 triệu; Phường Hàng Gai, Quận Hoàn Kiếm, TP. Hà Nội; 1,000 m²; 40 m; 25 m; --;1
2.45 tỷ; Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 120 m²; 24 m; 5 m; --;1
1.8 tỷ; Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 106 m²; 22.99 m; 5.02 m; Đ.Bắc;1
500 triệu; Xã Tân Hương, Huyện Châu Thành, Tiền Giang; 110 m²; 23 m; 4.99 m; --;1
450 triệu; Đường Đinh Tiên Hoàng, Phường Tân Phú, TP. Đồng Xoài, Bình Phước; 570 m²; 38 m; 15 m; --;1
350 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 40 m²; --; --; --;0
800 triệu; Đường 8, Xã Khánh Hiệp, Huyện Khánh Vĩnh, Khánh Hòa; 2,100 m²; 21 m; 10 m; Bắc;1
2 tỷ; Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TP. Hồ Chí Minh; 80 m²; 16 m; 5 m; --;1
5.5 tỷ; QL 55, Xã Tân Hà, Huyện Hàm Tân, Bình Thuận; 626 m²; 72 m; 12.7 m; Tây;1
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 78 m²; 15.6 m; 5 m; Nam;0
2.65 tỷ; Phường Trảng Dài, TP. Biên Hòa, Đồng Nai; 105 m²; 21 m; 5 m; Đ.Nam;1
500 triệu; Đường Đồng Văn Dẫn, Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 120 m²; 24 m; 5 m; --;1
1.45 tỷ; Đường An Dương, Xã Bắc Sơn, Huyện An Dương, TP Hải Phòng; 70 m²; 17 m; 4 m; --;0
450 triệu; Vĩnh Lộc, Xã Vĩnh Lộc B, Huyện Bình Chánh, TP. Hồ Chí Minh; 50 m²; --; --; --;0
800 triệu; Đường Quốc Lộ 50, Xã Phước Đông, Huyện Cần Đước, Long An; 100 m²; --; --; --;1
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 76 m²; 15.2 m; 4.99 m; --;0
620 triệu; 14D, Thị trấn Thạnh Mỹ, Huyện Nam Giang, Quảng Nam; 120 m²; --; --; --;0
520 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 40 m²; --; --; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 75 m²; 16 m; 5 m; Đông;0
420 triệu; Đường 14, Xã Nha Bích, Thị xã Chơn Thành, Bình Phước; 1,000 m²; 10 m; 100 m; --;1
1.4 tỷ; Xã Phước Thể, Huyện Tuy Phong, Bình Thuận; 105 m²; 19 m; 5.5 m; Bắc;1
1.6 tỷ; Xã Tân An Hội, Huyện Củ Chi, TP. Hồ Chí Minh; 110 m²; 21.99 m; 5 m; Đ.Nam;1
650 triệu; Đường Dương Gia Trang, Xã Nha Bích, Thị xã Chơn Thành, Bình Phước; 1,000 m²; 50 m; 20 m; --;1
1.35 tỷ; Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh; 81 m²; --; --; --;1
899 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0
1.4 tỷ; Xã Phước Thể, Huyện Tuy Phong, Bình Thuận; 105 m²; 19 m; 5.5 m; Bắc;1
1.4 tỷ; Xã Phước Thể, Huyện Tuy Phong, Bình Thuận; 105 m²; 19 m; 5.5 m; Bắc;1
650 triệu; Đường 826, Xã Long Trạch, Huyện Cần Đước, Long An; 120 m²; 20 m; 5 m; --;1
1.39 tỷ; Đường Cách Hạ, Xã Nam Sơn, Huyện An Dương, TP Hải Phòng; 72 m²; 18 m; 4 m; --;0
700 triệu; Xã Gia Tân 2, Huyện Thống Nhất, Đồng Nai; 2,200 m²; 40 m; 55 m; Đ.Nam;0
970 triệu; Trần Hải Phụng, Xã Vĩnh Lộc B, Huyện Bình Chánh, TP. Hồ Chí Minh; 90 m²; 5 m; 18 m; --;1
1.9 tỷ; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 150 m²; 30 m; 5 m; --;0
890 triệu; Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương; 300 m²; 20 m; 15 m; --;0
920 triệu; Đường 13, Phường Tân Định, Thị xã Bến Cát, Bình Dương; 200 m²; 20 m; 10 m; --;0
320 triệu; Đường ĐT 786, Thị trấn Bến Cầu, Huyện Bến Cầu, Tây Ninh; 100 m²; 20 m; 5 m; --;1
670 triệu; Đường Đạ Nghịt, Thị trấn Lạc Dương, Huyện Lạc Dương, Lâm Đồng; 3,400 m²; 45 m; 80 m; --;1
2.05 tỷ; Nguyễn Văn Khạ, Xã Tân An Hội, Huyện Củ Chi, TP. Hồ Chí Minh; 104 m²; 20.5 m; 5 m; Nam;0
520 triệu; Liên Ấp 2-3-4, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 80 m²; 10 m; 7.99 m; --;1
545 triệu; Ql50, Xã Phong Phú, Huyện Bình Chánh, TP. Hồ Chí Minh; 108 m²; --; --; --;1
595 triệu; Đường Quốc Lộ 13, Phường Minh Hưng, Thị xã Chơn Thành, Bình Phước; 500 m²; 47 m; 11 m; --;1
1.02 tỷ; Đường Đa Phúc Quang Tiến, Sóc Sơn, Hà Nội; 68 m²; 17 m; 4 m; --;0
1.79 tỷ; Đường Trường Sa Mai Lâm, Đông Anh, Hà Nội; 46 m²; 11 m; 4 m; --;0
1.53 tỷ; Đường Uy Nỗ Uy Nỗ, Đông Anh, Hà Nội; 51 m²; 12 m; 4 m; --;0
900 triệu; Đường 1 An Khánh, Thủ Đức, TPHCM; 132 m²; 22 m; 6 m; --;0
2.1 tỷ; Xã Tả Phìn, Thị xã Sa Pa, Lào Cai; 1,250 m²; --; --; --;0
390 triệu; Tỉnh lộ 2, Xã Phước Vĩnh An, Huyện Củ Chi, TP. Hồ Chí Minh; 100 m²; 5 m; 20 m; --;1
3.67 tỷ; Phường Nam Hải, Quận Hải An, TP. Hải Phòng; 54 m²; --; --; --;0
560 triệu; Xã La Ngà, Huyện Định Quán, Đồng Nai; 2,028 m²; 39 m; 55 m; Đ.Nam;0
2.4 tỷ; Đường Cam Lộ, Phường Hùng Vương, Quận Hồng Bàng, TP Hải Phòng; 75 m²; 15 m; 5 m; --;0
468 triệu; Phường 3, Quận Gò Vấp, TP. Hồ Chí Minh; 2,436 m²; --; --; --;0
350 triệu; Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương; 250 m²; --; --; --;1
1.85 tỷ; Hoàng Diệu, Phường Châu Phú B, TP. Châu Đốc, An Giang; 125 m²; 25 m; 5 m; --;0
52.5 tỷ; Đường số 5, Phường Tân Phong, Quận 7, TP. Hồ Chí Minh; 250 m²; --; --; --;0
58 tỷ; Đường Long Thuận Long Phước, Thủ Đức, TPHCM; 7,312 m²; 70 m; 120 m; --;0
1.2 tỷ; Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng; 120 m²; 20 m; 6 m; --;1
2.4 tỷ; Đường Phan Đình Phùng, Phường Trung Dũng, TP. Biên Hòa, Đồng Nai; 55 m²; --; 8 m; --;0
3.55 tỷ; Đường 47 Đồng Tiến, Phổ Yên, Thái Nguyên; 100 m²; 20 m; 5 m; --;0
1.65 tỷ; Nguyễn Thị Rành, Xã Nhuận Đức, Huyện Củ Chi, TP. Hồ Chí Minh; 1,180 m²; 39.3 m; 30 m; --;1
1.1 tỷ; Đường Thắng Trí, Minh Trí, Sóc Sơn, HN; 71 m²; 14 m; 4.5 m; --;0
500 triệu; Hương lộ 80, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 60 m²; 10 m; 6 m; --;1
1.7 tỷ; Quốc lộ 1A, Xã Thanh Trạch, Huyện Bố Trạch, Quảng Bình; 163 m²; 23 m; 7 m; Đ.Nam;1
899 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 6 m; 22 m; --;0
4 tỷ; Nguyễn sinh sắc, Phường Hòa Minh, Quận Liên Chiểu, TP. Đà Nẵng; 100 m²; 20 m; 5 m; Đông;1
12 tỷ; Lạc Long Quân, Phường Cẩm An, TP. Hội An, Quảng Nam; 200 m²; 25 m; 8 m; T.Bắc;1
600 triệu; Đồng Văn Dẫn, Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 112 m²; 22 m; 4.99 m; --;1
395 triệu; Đường Quốc Lộ 13, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương; 1,009 m²; 40 m; 25 m; --;1
3.36 tỷ; Đường 3 Nguyên Khê, Đông Anh, Hà Nội; 112 m²; 21 m; 5 m; --;0
1.4 tỷ; Phường Phúc Xá, Quận Ba Đình, TP. Hà Nội; 105 m²; --; --; --;0
1.4 tỷ; Phường Tân Bình, TP. Dĩ An, Bình Dương; 105 m²; --; --; --;0
1.02 tỷ; Đường 13, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
534 triệu; Đường 22B, Xã Hiệp Thạnh, Huyện Gò Dầu, Tây Ninh; 129 m²; 25 m; 5 m; --;0
1.4 tỷ; Phường Tân Thuận Đông, Quận 7, TP. Hồ Chí Minh; 90 m²; --; --; --;0
3.5 tỷ; Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh; 63 m²; --; --; --;1
2.6 tỷ; Đường Phạm Văn Thuận, Phường Tam Hiệp, TP. Biên Hòa, Đồng Nai; 56 m²; --; 7.5 m; --;0
680 triệu; Phường Tiến Thành, TP. Đồng Xoài, Bình Phước; 150 m²; 25 m; 6 m; --;1
390 triệu; Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 155 m²; 5 m; 31 m; --;1
400 triệu; Phường Hòa Hiệp Bắc, Quận Liên Chiểu, TP. Đà Nẵng; 1,000 m²; 40 m; 25 m; --;1
1.2 tỷ; Đường 20 Tân Lạc, Bảo Lâm, Lâm Đồng; 174 m²; --; --; --;0
1 tỷ; Xã Bình An, Huyện Thăng Bình, Quảng Nam; 108 m²; 6 m; 20 m; --;0
720 triệu; Đường Đồng Tâm - Tà Thiết, Xã Lộc Thành, Huyện Lộc Ninh, Bình Phước; 270 m²; 45 m; 6 m; --;1
520 triệu; Đường 101 Nam Lộ, Thị trấn Định Quán, Huyện Định Quán, Đồng Nai; 1,200 m²; 60 m; 20 m; --;1
675 triệu; Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận; 2,700 m²; --; --; --;0
1.06 tỷ; Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận; 8,500 m²; --; --; --;0
539 triệu; Đường 14, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương; 70 m²; 14 m; 5 m; --;1
6.45 tỷ; Xã Sơn Mỹ, Huyện Hàm Tân, Bình Thuận; 2,175 m²; 50 m; 43 m; --;1
1.9 tỷ; Đường Đản Mỗ, Uy Nỗ, Đông Anh, HN; 51 m²; 13 m; 4 m; --;0
389 triệu; Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 150 m²; 5 m; 30 m; --;1
190 triệu; Đường Quốc lộ 1A, Vĩnh Phương, TP. Nha Trang, Khánh Hòa; 150 m²; 25 m; 6 m; --;0
470 triệu; Phường Hợp Đức, Quận Đồ Sơn, TP. Hải Phòng; 47 m²; --; --; --;0
2.45 tỷ; Xã Đặng Xá, Huyện Gia Lâm, TP. Hà Nội; 50 m²; --; --; --;0
3.9 tỷ; Đường Tỉnh lộ 419 Tân Xã, Thạch Thất, Hà Nội; 123 m²; 22 m; 5 m; --;0
3.9 tỷ; Đường Tỉnh lộ 419 Tân Xã, Thạch Thất, Hà Nội; 123 m²; 22 m; 5 m; --;0
5.6 tỷ; Đường Tỉnh lộ 420, Xã Bình Yên, Huyện Thạch Thất, TP Hà Nội; 112 m²; 22 m; 5 m; --;0
669 triệu; Phường Dĩ An, TP. Dĩ An, Bình Dương; 510 m²; 51 m; 10 m; --;1
800 triệu; Xã Phước Lý, Huyện Cần Giuộc, Long An; 87 m²; 5.5 m; 16 m; --;1
1.52 tỷ; Đường D6 Diên Lạc, Diên Khánh, Khánh Hòa; 137 m²; 24 m; 5.5 m; --;0
570 triệu; Xã Bình Đông, Thị xã Gò Công, Tiền Giang; 80 m²; 20 m; 4 m; --;0
1.51 tỷ; Đường Vĩnh Thạnh, Nha Trang, Khánh Hòa; 107 m²; 15.5 m; 7 m; --;0
470 triệu; Đường ĐT 741, Xã Tân Hiệp, Huyện Phú Giáo, Bình Dương; 1,112 m²; 92 m; 12 m; --;0
1.6 tỷ; Đường Tân Thành, Phường Tân Thành, Quận Dương Kinh, TP Hải Phòng; 150 m²; 30 m; 5 m; --;0
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; Đ.Nam;0
1.5 tỷ; Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 120 m²; --; --; --;0
480 triệu; Xã An Khương, Huyện Hớn Quản, Bình Phước; 250 m²; 50 m; 5 m; --;1
2.1 tỷ; Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 90 m²; 18 m; 5 m; --;1
1 tỷ; Đường Nguyễn Xiển, Xã Vĩnh Phương, TP. Nha Trang, Khánh Hòa; 205 m²; 17 m; 12 m; Đ.Nam;1
580 triệu; Xã Phan, Huyện Dương Minh Châu, Tây Ninh; 150 m²; --; --; --;0
1.6 tỷ; Đường Tân Thành Tân Thành, Dương Kinh, Hải Phòng; 150 m²; 30 m; 5 m; --;0
19 tỷ; Đường Tỉnh 152, Xã Mường Hoa, Thị xã Sa Pa, Lào Cai; 4,900 m²; --; --; --;0
820 triệu; Xã La Ngà, Huyện Định Quán, Đồng Nai; 1,585 m²; 25 m; 64 m; --;1
4 tỷ; Thị trấn NT Mộc Châu, Huyện Mộc Châu, Sơn La; 700 m²; --; --; --;0
700 triệu; Đường ĐT 741, Xã Long Tân, Huyện Phú Riềng, Bình Phước; 244 m²; 26 m; 6.5 m; --;1
899 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;0
410 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 50 m²; --; --; --;0
2 tỷ; Đường Nguyễn tất Thành, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, TP. Đà Nẵng; 100 m²; 20 m; 5 m; Đông;1
